Topic,Count,Name,Representation,Representative_Docs
285,116,285_prioryear level_prioryear_mercedesbenz_daimler,"['prioryear level', 'prioryear', 'mercedesbenz', 'daimler', 'cash', 'adjusted', 'cash flow', 'slightly', 'billion', 'mercedesbenz cars', 'commercial vehicle', 'conversion rate', 'level million', 'free cash', 'flow']","['The chart in B.44 provides an overview of the key figures B.44 Outlook for key figures for 2023 2022 reporting year Forecast for 2023 Mercedes-Benz Group Revenue1 €150,017 million At the prior-year level EBIT1 €20,458 million Slightly lower than the prior-year level Free cash flow of the industrial business1 €8,128 million At the prior-year level CO2 emissions of the new car fleet in Europe1 115 g/km Significantly lower than the prior-year level Mercedes-Benz Cars Unit sales1 2,040,700 vehicles At the prior-year level Revenue €111,601 million At the prior-year level Adjusted return on sales 14.6% 12%–14% Adjusted cash conversion rate 0.7 0.8–1.0 Investments in property, plant and equipment1 €3,265 million Significantly higher than the prior-year level Research and development expenditure1 €7,986 million Slightly higher than the prior-year level Mercedes-Benz Vans Unit sales1 415,344 vehicles At the prior-year level Revenue €17,217 million Slightly higher than the prior-year level Adjusted return on sales 11.2% 9%–11% Adjusted cash conversion rate 1.1 0.5–0.7 Investments in property, plant and equipment1 €199 million Significantly higher than the prior-year level Research and development expenditure1 €552 million Significantly higher than the prior-year level Mercedes-Benz Mobility New business1 €58,031 million Slightly higher than the prior-year level Contract volume €132,379 million Slightly lower than the prior-year level Revenue €26,953 million Significantly lower than the prior-year level Adjusted return on equity1 16.8% 12%–14% 1 key performance indicator', 'B.16 Free cash flow of the industrial business In millions of euros Change Cash provided by operating activities1 14,899 15,493 -594 Cash used for investing activities1 -5,554 -6,059 +505 Change in marketable debt securities and similar investments1 -490 1,245 -1,735 Right-of-use assets1 -696 -495 -201 Repayment of financing of Daimler’s commercial vehicles business -6,853 +6,853 Cash and cash equivalents disposed of in the deconsolidation of Daimler’s commercial vehicles business 5,254 -5,254 Other adjustments2 -31 -705 +674 Free cash flow of the industrial business 8,128 7,880 +248 Legal proceedings (and related measures) 1,661 -783 Restructuring measures -241 M&A transactions -86 -31 -55 Free cash flow of the industrial business adjusted 9,294 10,125 -831 1 For 2021 the consolidated cash flows from continuing and discontinued operations are presented.', '2 For 2021 the free cash flow of the industrial business is adjusted by €0.7 billion for the free cash flow of the spin-off Daimler commercial vehicles business.']"
286,116,286_travel_air travel_travel emissions_prepandemic,"['travel', 'air travel', 'travel emissions', 'prepandemic', 'prepandemic levels', 'emissions travel', 'travel policy', 'booking', 'travel travel', 'travel restrictions', 'air', 'virtual meetings', 'virtual', 'covid', 'restrictions']","['The Viaplay Group Travel and Expense Directive supports our business travel emissions reduction efforts through encouraging employees to travel less (by opting for digital meetings when feasible, utilising local staff and resources, and combining meetings and activities into fewer trips) and to travel more efficiently (by opting for lower emission modes of travel, walking and using public transport instead of taxis, and when traveling by air by taking direct flights whenever possible). The Directive is supported through reminders, notices and recommendations in the Group’s central travel booking system that aim to nudge our employees to travel smarter.', 'Business travel We have already started reducing business travel by making more use of virtual meetings. We are investigating ways to partly replace air travel with other forms of travel (such as train or car travel) without impact of business effectiveness. We are also reducing the proportion of business class and firstclass flights to reduce the emission intensity of air travel.', 'Business travel Our ambition is to halve travel emissions by 2030, compared with pre-pandemic levels. In 2023, our travel emissions remained below 50% of our 2019 baseline, despite the lifting of international travel restrictions. We are closely managing the gradual resumption of travel through internal reporting and review of emissions, internal carbon budgets and the introduction of emissions information at the point of booking. With hybrid working embedded across the organisation, the use of virtual working practices has reduced the need for our colleagues to travel to meet with other colleagues and customers.']"
287,116,287_republic_america_africa_south,"['republic', 'america', 'africa', 'south', 'hungary', 'poland', 'mexico', 'netherlands', 'north', 'romania', 'germany', 'czech', 'denmark', 'ireland', 'portugal']","['(2) The table showing the breakdown by region includes the following countries and territories: Africa/Middle East: Bahrain, Dubai, Kuwait, Qatar, South Africa, Saudi Arabia, United Arab Emirates, Türkiye; Asia: Mainland China, Guam, Hong Kong SAR, India, Japan, Macao SAR, Malaysia, Philippines, Singapore, South Korea, Thailand, Taiwan, Vietnam; Eastern Europe: Croatia, Czechia, Hungary, Romania, Russia, Serbia; France; North America: Canada, United States; Oceania: Australia, New Zealand; South America: Aruba, Brazil, Chile, Mexico, Panama; Western Europe: Austria, Belgium, Denmark, Germany, Greece, Ireland, Italy, Luxembourg, Monaco, Norway, Netherlands, Portugal, Spain, Sweden, Switzerland, United Kingdom.', '• Europe, Middle East & Africa: Andorra, Angola, Armenia, Austria, Belarus, Belgium, Bulgaria, Croatia, Czech Republic, Denmark, Estonia, Finland; France; Germany; Ghana; Greece, Hungary, Ireland, Italy, Kenya, Latvia, Lithuania, Morocco, Mozambique, Namibia, Netherlands, Nigeria, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom.', '(2) The table showing the breakdown by region includes the following countries and territories: Africa/Middle East: Bahrain, Dubai, Kuwait, Qatar, Saudi Arabia, South Africa, Turkey, United Arab Emirates; Asia: Bangladesh, Mainland China, Guam, Hong Kong SAR, Japan, India, Macao, Malaysia, Pakistan, Philippines, Singapore, South Korea, Thailand, Taiwan, Vietnam; Eastern Europe: Croatia, Czech Republic, Hungary, Romania, Russia, Serbia; France; North America: Canada, United States; Oceania: Australia, New Zealand; South America: Aruba, Brazil, Chile, Mexico, Panama; Western Europe: Austria, Belgium, Denmark, Germany, Greece, Ireland, Italy, Luxembourg, Monaco, Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, United Kingdom.']"
288,116,288_kpn_security_kpns_speakup line,"['kpn', 'security', 'kpns', 'speakup line', 'privacy', 'speakup', 'dutch', 'data safe', 'een', 'cybersecurity', 'reporting procedure', 'sme', 'kpn employees', 'password', 'internet']","['• 2022: 69% of Dutch people that believe their data is safe with KPN • 2022: 52% SME KPN EEN customers that activated safe Internet Healthcare:', 'The SCoC obliges our contracted suppliers to inform their employees about the availability and usability of KPN’s SpeakUp line to report workplace concerns, including concerns involving harassment and discrimination, to KPN management for appropriate resolution. The expected outcome of the action plan is that workers are aware of KPN’s SpeakUp line.', 'In 2022, 69% of Dutch people said they believe their information is safe with KPN (2021: 66%). With this score, KPN is ahead of the competition when it comes to the security of privacy and personal data.']"
289,115,289_kone_kones_konecranes_elevators,"['kone', 'kones', 'konecranes', 'elevators', 'cranes', 'manufacturing units', 'manufacturing', 'solutions', 'regenerative', 'lifetime', 'escalators', 'offering', 'modernization', 'emission', 'elevator']","['↓ Transition risk Reputational damage if KONE fails to meet its promised sustainability/climate-related targets in time • KONE continues to develop low carbon offering to meet customer expectations and support them to meet their climate targets • KONE actively engages with its suppliers on climate topics Energy in downstream value chain (long-term/ continuous) ↓ Negative impact KONE solutions are designed to last long (25 years for the elevators and 15 years for escalators). During their lifetime KONE solutions consume electricity.', 'Reducing emissions related to the materials used and lifetime energy consumption per product ordered Smart use of materials and circularity: Optimizing material use and reducing the materials, energy, and other resources used in KONE’s solutions and operations Extending product lifetime: Extending lifetime of equipment through service and modernization including intelligent KONE 24/7 Connected Services and predictive maintenance End-user safety: Having safety as KONE’s top priority in all operations Accessibility: Providing accessible, safe, and convenient solutions for all groups of End-users Business model and value chain KONE has a lifecycle business model where it provides elevators, escalators, building doors and related smart solutions for buildings and urban mobility. KONE maintains and modernizes the equipment to ensure the longevity, safety, and efficient operation of equipment, thereby contributing to sustainability by extending the product life cycle. By offering energy-efficient and sustainable products, KONE aims to reduce environmental impact throughout the entire product life cycle, from raw material sourcing to end-of-life. Furthermore, KONE requires that its supply chain partners adhere to sustainability requirements, including ethical sourcing and minimizing environmental impact.', 'Although KONE’s material topics focus on the impacts of GHG emissions and energy in the value chain, KONE is also committed to reduce emissions and energy consumption in its own operations. KONE Global Facilities Policy demonstrates KONE’s dedication to increasing the usage of renewable electricity at its facilities worldwide to 100% by 2030. All KONE units report renewable electricity as part of their quarterly reporting. Refer to E1, Reporting principles to read more about KONE’s data collection and monitoring process.']"
290,115,290_eiffage_nergie systmes_nergie_eiffage nergie,"['eiffage', 'nergie systmes', 'nergie', 'eiffage nergie', 'systmes', 'eiffage construction', 'asphalt', 'eiffage gnie', 'gnie', 'gnie civil', 'eiffage route', 'route', 'construction', 'civil', 'motorway']","['Eiffage Benelux Antwerpse Bouwwerken Entreprises Générales Louis Duchêne Herbosch-Kiere Perrard Valens Eiffage Infrastructures AER Ævia Demcy DLE Ouest Eiffage GC Infra Linéaires Eiffage Génie Civil Eiffage Génie Civil Réseaux Eiffage Infra Guyane Eiffage Rail Eiffage Route Centre Est Eiffage Route Grand Sud Eiffage Route IdF Centre Ouest Eiffage Route Nord Est Eiffage Route Sud Ouest Eiffage Sénégal Eiffage Travaux Maritimes et Fluviaux Eiffage Infra Bau SE', '15.List of main consolidated companies at 31\xa0December\xa02023 Eiffage A’liénor Eiffage Rail Express Société Eiffage de la Concession de l’Autoroute de l’Avenir 75.0% ATB Participation Aéroport Toulouse-Blagnac 50.0% Verdun Participation 1 Compagnie Eiffage du Viaduc de Millau Financière Eiffarie 52.0% A P R R 52.0% AREA 51.9% Eiffage Construction Eiffage Construction Alpes Dauphiné Eiffage Construction Alsace Franche Comté Eiffage Construction Amélioration de l’habitat Eiffage Construction Bretagne Eiffage Construction Équipements Eiffage Construction Grands Projets Eiffage Construction Habitat Eiffage Construction Haute Normandie Eiffage Construction Lorraine Eiffage Construction Midi Pyrénées Eiffage Construction Nord Eiffage Construction Nord Aquitaine Eiffage Construction Picardie Eiffage Construction Résidentiel Eiffage Construction Rhône Loire Eiffage Construction Sud Est Eiffage Construction Tertiaire Eiffage Immobilier Grand Ouest Eiffage Immobilier Île-de-France Eiffage Immobilier Sud Est Eiffage Suisse AG', '• Simplified organisation chart showing companies within the consolidation scope Eiffage\xa0SA (1) Eiffage Construction and its subsidiaries Eiffage Infrastructures and its subsidiaries Eiffage Énergie Systèmes and its subsidiaries Concessions Eiffage Construction Eiffage Immobilier Eiffage Aménagement Eiffage Génie Civil Eiffage Métal Eiffage Route Eiffage Énergie Systèmes APRR, AREA, Adelac et Aliae (2) Getlink (4) A’liénor Viaduc de Millau Toulouse (2) and Lille (2) airports SMTPC (2) Tunnel du Prado Sud (2) Autoroute de l’Avenir (Senegal) (2) Grande Arche de La Défense Decathlon Arena – Pierre Mauroy Stadium Renewable energies Bretagne– Pays de la Loir']"
291,115,291_reinsurance_insurance_liability_mortality,"['reinsurance', 'insurance', 'liability', 'mortality', 'longevity', 'biometric', 'claims', 'reinsurers', 'actuarial', 'euros per', 'claim', 'life', 'premium', 'policy covers', 'contamination']","['For additional information on risks related to our reinsurance coverage, please refer to the paragraph below “Reinsurance may be unavailable or too expensive and may not be adequate to protect us against losses, in particular in the context of cyclical Property & Casualty insurance and reinsurance businesses”.', 'A specific feature of the reinsurance industry is that it is structurally and voluntarily exposed to shocks. Major risks, which are the raw material of reinsurance, result in shocks of varying origins, scale and impacts depending on the economies and populations concerned. The reverse nature of the reinsurance production cycle is another specific feature of reinsurers’ business models: the premium of reinsurance products and services is collected before the damage occurs and claims are paid. Consequently, the performance of investment portfolios directly impacts risk pricing.', 'The Group’s reinsurance activities and the types of reinsurance it engages in are presented in greater detail in Sections\u202f1.2.5.1 – The Reinsurance Business, 1.2.5.2 – Non-life Reinsurance and 1.2.5.3 – Life Reinsurance of this Universal Registration Document.']"
292,115,292_vigilance_vigilance plan_vallourec_plan,"['vigilance', 'vigilance plan', 'vallourec', 'plan', 'duty vigilance', 'subcontractors suppliers', 'vallourecs', 'duty', 'subcontractors', 'rights fundamental', 'established relationship', 'axa', 'fundamental freedoms', 'freedoms', 'vigilance law']","['4.6 VIGILANCE PLAN 4.6 VIGILANCE PLAN To comply with applicable French law requirements (1), AXA has (i) adopted a vigilance plan (the “vigilance plan”) that sets forth the measures established and implemented by AXA Group in order to identify the risks relating to, and prevent, violations of human rights and adverse impacts on the environment resulting from Group’s activities and from its own operations, and (ii) prepared a report included in this section, on the application of this vigilance plan during the financial year 2022. For purposes of this Section, “human rights” include fundamental freedoms, as well as the health and safety of persons.', 'I Scope of the vigilance plan In accordance with the requirements of the French duty of vigilance, the Group’s vigilance plan covers the activities of AXA and those of the companies controlled, directly or indirectly, by AXA within the meaning of article\xa0L.233-16\xa0II of the French Commercial Code, as well as the activities of subcontractors and suppliers with whom the AXA Group has an established business relationship, insofar as the activities related to such relationship; and the vigilance plan includes:', '4.7\xa0Vigilance Plan 4.7 Vigilance Plan To comply with applicable French law requirements\xa0(1), AXA has (i)\xa0adopted a vigilance plan that sets out the measures established and implemented by the Group in order to identify the risks relating to, and prevent, violations of human rights, fundamental freedoms and health and safety of persons and adverse impacts on the environment resulting from the Group’s activities and from its own operations (the “Vigilance Plan”), and (ii)\xa0prepared a report, included in this section, on the application of the Vigilance Plan during the financial year 2024.']"
293,114,293_disabilities_employees disabilities_disability_disabled,"['disabilities', 'employees disabilities', 'disability', 'disabled', 'people disabilities', 'workers disabilities', 'disabilities employees', 'persons disabilities', 'persons', 'employees', 'disabled employees', 'people', 'workforce', 'disabilities workforce', 'employees declared']","['[79] Employees with disabilities - TIM Group Total employees 26,824 Employees with disabilities 3.71 [MDR-M, 77 a]: The TIM Group, in classifying employees having “disabilities”, aligns itself with the laws of the countries in which it operates.', 'CaixaBank has an inclusive policy for people with disabilities in place Employees with disabilities (2024) Employees with disabilities (2023) In 2024, the number of employees with disabilities in the Group is 1.4% (1.3% in 2023) In Spain, disability is recognized from 33%, while in Portugal a minimum of 60% is required. In both countries, the employees must hold an official certificate issued by the competent authority that evidences the degree of disability.', 'Inclusion of persons with disabilities Employees with disabilities1 Employees with disabilities – female Employees with disabilities – male % of employees with disabilities 1.0 0.9 0.8 Employees with disabilities are recorded in the HR system according to the local regulation in each affiliate, which may vary between countries.']"
294,114,294_covid_pandemic_covid pandemic_girls,"['covid', 'pandemic', 'covid pandemic', 'girls', 'vaccination', 'virus', 'young women', 'measures', 'coronavirus', 'vaccinations', 'influenza', 'public health', 'flu', 'covid cases', 'health']","['We have contingency plans which are designed to reduce as\xa0far as possible the impact on operational service arising from mass staff absenteeism, travel restrictions and supply chain disruption caused by a pandemic, which we were able to put into action during the recent COVID-19 pandemic. We reinsure much of the mortality risk arising from our life protection business and hold capital to cover the risks of a 1-in-200 year pandemic event. We model a range of extreme pandemic scenarios including a repeat of\xa0the 1918 global influenza pandemic and COVID-19. In the Group and commercial insurance business we manage our\xa0potential exposure through our policy wordings.', 'COVID-19 testing Throughout the COVID-19 pandemic, we have been working closely with governments, public health authorities and customers to ensure worldwide availability of critical COVID-19 testing diagnostics, while also developing new dedicated COVID-19 tests to cover all stages of the infection cycle.', '◼The Group’s management of the Covid-19 pandemic was recognized, in 2021, by the International SOS Foundation (ISOS), with an honorable mention in the international “Duty of Care Covid-19 Ambassador” category.']"
295,114,295_rbi_rbis_esg_esg framework,"['rbi', 'rbis', 'esg', 'esg framework', 'stakeholder', 'sustainable investing', 'esg sustainable', 'sustainable', 'sustainable finance', 'investing', 'financing', 'finance', 'investment', 'clients', 'commerzbank']","['Core action areas of RBI’s sustainability strategy RBI sustainability matrix Economy Society Environment Responsible banker Value creation Social product responsibility Ecological product responsibility Successful business through responsible management and business strategies, sustainable responsibility in the real economy and the regional economy, and the integration of sustainability aspects into the core business Social responsibility for RBI’s products and services by taking consumer concerns into account, consideration of social aspects in providing loans and financial products, protection of customer data and providing correct information Ecological responsibility for RBI’s products and services by guaranteeing national environmental provisions and recognized international conventions, as well as taking into account the environmental impact in project finance plans and financial products Fair partner Fair business and operating practices Employees and stakeholders In-house ecology Fairness and transparency towards employees, customers and shareholders through exemplary behavior in areas of influence as an attractive employer; through transparent reporting as well as the avoidance of corruption and fraud Continuous inclusion of stakeholders as part of sustainable company development by strengthening cooperation management in order to reduce business risks and make use of business opportunities A responsible approach to resources and the environment by reducing RBI’s environmental impact and implementing selected measures in order to achieve the defined group-wide climate targets Engaged citizen Sustainable entrepreneurship Active civil society Environmentally friendly society Commitment to sustainable entrepreneurship and enterprise, and the creation of wealth, by helping to establish a framework for sustainable finance as well as providing direct and indirect support for organizations and socially relevant initiatives Commitment to a sustainable civil society and responsible political cooperation by promoting public interest and knowledge of financial topics and voluntary work Working for the environment and the climate through climate protection, protection of species diversity and conservation of the various ecosystem functions and services The most effective leverage for a bank is in its core business, namely in granting loans and investing funds. RBI takes the greatest possible care to structure its business and business relationships for long-term resilience, to avoid social and environmental risks and to take advantage of opportunities to improve environmental protection and social standards. Trust and reliability have always formed part of RBI’s fundamental principles.', 'RBI’s sustainability strategy In order to improve the effectiveness and scope of sustainability management across RBI as a whole, RBI has published the group-wide sustainability strategy: RBI creates sustainable value. This strategy consists of three strategic action areas:', 'RBI’s strategy Group Strategy Map Vision 2025 RBI is the most recommended financial services group Mission RBI transforms continuous innovation into superior customer experience Customers Shareholders General public RBI constantly strives to improve customer experience and enables its clients to achieve more in their lives and businesses.']"
296,114,296_ehs_ehs policy_ehs management_safety ehs,"['ehs', 'ehs policy', 'ehs management', 'safety ehs', 'environment health', 'ehs team', 'global ehs', 'audits', 'ehs performance', 'loral', 'sites', 'worldwide', 'health safety', 'safety', 'people trained']","['• Structured EHS dialogues and annual EHS week to raise awareness and address occupational health and safety issues in most portfolio companies.', 'Our Environment, Health and Safety (EHS) and Business Continuity Committee, chaired by the Chief Operations Officer, oversees and approves the EHS strategy. Line managers are responsible for day-to-day EHS management and performance. The EHS Competence Center (EHS Experts) brings together best practices, defines our EHS standards and supports managers to implement these standards in the workplace.', 'Environment, Health and Safety (EHS) Our EHS policy applies the principles of the Code of Conduct and core values to achieve our Environmen\xad tal, Health and Safety vision of Zero Harm. We have Group EHS proce\xad dures targeting, for instance, hazard identification and operational risk management, incident reporting and injury management, EHS perfor\xad mance measurement and monitoring and EHS training and competency.']"
297,114,297_atos_decarbonization_environmental challenges_challenges,"['atos', 'decarbonization', 'environmental challenges', 'challenges', 'atos main', 'environmental policy', 'digital technologies', 'clients', 'action plans', 'environmental', 'main environmental', 'atos aims', 'optimization', 'main', 'decarbonization plan']","['5.2 5.2.1 Atos Environmental Program summary [GRI 3‑3 Energy], [GRI 3‑3 Emissions] 5.2.1.1 Main environmental challenges In 2023, the main direct environmental impacts resulting from Atos’ activities relate to energy consumption in datacenters, offices, and business travel. The main indirect impacts occur within the supply chain as well as during the use of solutions and technologies deployed by the Group. Atos’ main challenges environmental impacts, risks, opportunities are further explained in a following section.', 'increased risk of taxation and carbon costs: To mitigate this, Atos has accelerated its decarbonization plan, and strengthened its emission reduction commitments. (More information in section΅̊.2.̉)ͤ Atos clients need help in reducing their own impacts: Atos has developed a comprehensive portfolio of low‑carbon solutions as part of the decarbonization plan, including Atos’ new service “Digital Decarbonization Assessment” (More information in section΅̊.2.̋)ͤ risk of interruption of Atos operations due to climatic events: Atos has identified no immediate or mid‑term risks, however, many tools and processes are used to identify, evaluate, monitor, or mitigate risks (More information in point΅C above); risk of supply chain disruption: To mitigate this, Atos has a policy in place for diverse sourcing of equipment and criteria based on assessment of the maturity of its main providers. (More information in section΅̊.̉.̋).', 'Atos launches its\xa0Environmental Program\xa0and focuses on climate emergency All Atos’ main sites must enter the\xa0ISO 14001\xa0certiﬁcation process and get certiﬁed Climate change commitments\xa0are made by Atos as part of the Paris Agreement The\xa0SBTi\xa0validates Atos’ carbon intensity target for 2050 (-86% versus 2012) Double-materiality assessment conﬁrms “Climate change”, and adds “Circular Economy” and “Waste” as material topics for Atos Atos reports following the EU Taxonomy for sustainable activities and starts preparing for CSRD Atos conﬁrms its commitments to reduce its emissions by 50% between 2019 and 2025 aligned to the newest SBT standards Atos commits to a near term\xa01.5°C SBT by 2025\xa0and to reach Net Zero 5.1.2.2.4 5.1.2.2.4.1 Atos implements an Environmental Policy to serve its Environmental Program that provides high‑level principles, over the short and long term, regarding the Group’s main environmental challenges including climate change mitigation and adaptation. It is validated by the Senior Executive Vice President & Head of Partnerships & Alliances and owned by the Head of Global Environment Program. It applies to all Atos entities and operations, all office sites, and data centers regardless of their location. The Environmental Policy applies to the full scope of the entire Atos organization (100%) including its suppliers and subcontractors.']"
298,113,298_ict_digital_green digital_ict solutions,"['ict', 'digital', 'green digital', 'ict solutions', 'ict sector', 'green', 'digital solutions', 'digital coalition', 'solutions', 'digital technologies', 'sectors', 'connectivity', 'european green', 'digital technology', 'enabling']","['European Green Digital Coalition The European Green Digital Coalition is an initiative by a group of ICT companies, supported by the European Commission and the European Parliament, which aims to promote and harness the enabling emission-reducing potential that digital solutions can have in other sectors.', 'European Green Digital Coalition The European Green Digital Coalition is an initiative by a group of ICT companies, supported by the European Commission and the European Parliament, which aims to promote and harness the enabling emission-reducing potential that digital solutions can have in other sectors.', 'European Green Digital Coalition The European Green Digital Coalition is an initiative by a group of ICT companies, supported by the European Commission and the European Parliament, that aims to promote and harness the enabling emission-reducing potential that digital solutions can have in other sectors.']"
299,113,299_consolidation_scope consolidation_consolidation scope_considered important,"['consolidation', 'scope consolidation', 'consolidation scope', 'considered important', 'outcomes considered', 'consolidated', 'entity', 'indicators quantitative', 'assessed data', 'collection process', 'included consolidation', 'undertakings included', 'management procedures', 'entities', 'financial statements']","['Report by one of the Statutory Auditors on the consolidated statement of non-financial performance we verified that the Statement covers the scope of consolidation, i.e., all the companies included in the scope of consolidation in accordance with article\xa0L.\xa0233-16, within the limitations set out in the Statement; we asked what internal control and risk management procedures the entity has put in place and assessed the data collection process implemented by the entity to ensure the completeness and fairness of the Information; for the key performance indicators and other quantitative outcomes that we considered to be the most important presented in the appendix, we implemented:', '■We verified that the Statement covers the scope of consolidation, i.e. all the consolidated entities in accordance with article L. 233-16 of the French Commercial Code within the limitations set out in the Statement; ■We obtained an understanding of internal control and risk management procedures the Entity has implemented and assessed the data collection process aimed at ensuring the completeness and fairness of the Information; ■For the key performance indicators and other quantitative outcomes that we considered to be the most important presented in Appendix, we implemented:', '• assess the process used to identify and confirm the principal risks as well as the consistency of the outcomes, including the key performance indicators used, with respect to the principal risks and the policies presented, and; • corroborate the qualitative information (measures and outcomes) that we considered to be the most important and presented in Appendix 1; concerning certain risks related to social dialogue, business ethics, sustainable supply chain, product quality and safety and climate transition, our work was carried out at consolidation level, for the others risks, our work was carried out at consolidation level and entity level; • we verified that the Statement covers the scope of consolidation, i.e., all the consolidated entities in accordance with article L. 233-16 of the French Commercial Code within the limitations set out in the Statement; • we obtained an understanding of internal control and risk management procedures implemented by the Entity and assessed the data collection process to ensure the completeness and fairness of the Information; • for the key performance indicators and other quantitative outcomes that we considered to be the most important presented in Appendix\xa01, we implemented:']"
300,113,300_wihlborgs_ethical guidelines_framework agreements_local suppliers,"['wihlborgs', 'ethical guidelines', 'framework agreements', 'local suppliers', 'denmark', 'sweden', 'conduct suppliers', 'suppliers', 'code conduct', 'conduct', 'selfdeclaration', 'region', 'suppliers covered', 'properties', 'ethical']","['We conduct regular employee surveys. In the operations in Sweden, these are conducted as part of Wihlborgs’ participation in the “Great Place to Work” evaluation. A measure of a strong corporate culture and employees being proud to work at Wihlborgs is if they are prepared to recommend Wihlborgs as an employer and if they are convinced that customers are satisfied with Wihlborgs as a landlord. We have obtained high scores in this regard for many years. The 2024 survey showed that 91 percent (95) of our employees in Sweden would recommend Wihlborgs as a workplace. 94 percent (92) perceive that tenants give Wihlborgs a high rating. In the operations in Denmark, the outcome was 84 percent and 83 percent respectively (82 and 80 percent respectively). According to the outcome for the Group, which is presented in the table below, the proportion of employees who would recommend Wihlborgs remains high, though it has declined slightly, while the proportion of employees who are convinced that tenants would give Wihlborgs a high rating grew significantly.', 'The essential internal steering document for this is Wihlborgs’ Ethical Guidelines that is determined by the Board of Directors and revised annually. These form a Code of Conduct for Wihlborgs’ employees and Board members and take a clear position on such matters as bribes, gifts and corruption. For our suppliers, corresponding requirements apply through the Wihlborgs’ Code of Conduct for suppliers. Wihlborgs’ purchasing department ensures that the Code of Conduct is distributed to all suppliers covered by framework agreements that are expected to study and follow the Code during the contract period.', 'We conduct regular employee surveys. In the operations in Sweden, these are conducted as part of Wihlborgs’ participation in the “Great Place to Work” evaluation. A measure of a strong corporate culture and employees being proud to work at Wihlborgs is if they are prepared to recommend Wihlborgs as an employer and if they are convinced that customers are satisfied with Wihlborgs as a landlord. We have obtained high scores in this regard for many years. The 2023 survey showed that 95 percent of our employees in Sweden would recommend Wihlborgs as a workplace. 92 percent perceive that tenants give Wihlborgs a high rating. In the operations in Denmark, the outcome was slightly lower (82 and 80 percent respectively).']"
301,112,301_endusers_consumers endusers_consumers_related consumers,"['endusers', 'consumers endusers', 'consumers', 'related consumers', 'managing material', 'impacts consumers', 'endusers approaches', 'material risks', 'endusers effectiveness', 'material', 'pursuing material', 'risks pursuing', 'material impacts', 'action material', 'engaging consumers']","['Interests and views of stakeholders (ESRS 2 SBM-2) Material impacts, risks and opportunities and their interaction with the strategy and business model (ESRS 2 SBM-3) Policies related to affected communities (S3-1) Processes for engaging with affected communities about impacts (S3-2) Processes to remediate negative impacts and channels for affected communities to raise concerns (S3-3) Taking action on material impacts on affected communities, and approaches to managing material risks and pursuing material opportunities related to affected communities and the effectiveness of those actions (S3-4) Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities (S3-5) 3.4 Consumers and end users Material impacts, risks and opportunities and their interaction with the strategy and business mode (ESRS 2 SBM-3) Policies related to consumers and end users (S4-1) Processes for engaging with consumers and end-users about impacts (S4-2) Processes to remediate negative impacts and channels for consumers and end-users to raise concerns (S4-3) Taking action on material impacts on consumers and end-users, and approaches to managing material risks and pursuing material opportunities related to consumers and end-users, and effectiveness of those actions (S4-4) Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities (S4-5) 3.5 Safety and security The role of the administrative, management and supervisory and bodies (ESRS 2 GOV-1) Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies (ESRS 2 GOV-2) Integration of sustainability-related performance in incentive schemes (ESRS 2 GOV-3) Statement on Due Diligence (ESRS 2 GOV-4):', 'S4-4 Taking action on material impacts on consumers and end-users, and approaches to managing material risks and pursuing material opportunities related to consumers and endusers, and effectiveness of those actions Human rights issues and incidents paragraph 35 S4-5 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities', 'S3-4: Taking action on material impacts on affected communities, and approaches to managing material risks and pursuing material opportunities related to affected communities, and effectiveness of those actions S3-5: Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities S4 - ESRS 2 SBM-2: Interests and views of stakeholders S4 - ESRS 2 SBM-3: Material impacts, risks and opportunities and their interaction with strategy and business mode S4-1: Policies related to consumers and end-users S4-2: Processes for engaging with consumers and end-users about impacts S4-3: Processes to remediate negative impacts and channels for consumers and end-users to raise concerns S4-4: Taking action on material impacts on consumers and end-users, and approaches to managing material risks and pursuing material opportunities related to consumers and end- users, and effectiveness of those actions S4-5: Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities G1 - ESRS 2 GOV-1: he role of the administrative, supervisory and management bodies G1 - ESRS 2 IRO-1: Description of the processes to identify and assess material impacts, risks and opportunities G1-1: Corporate culture and Business conduct policies and corporate culture G1-2: Management of relationships with suppliers G1-3: Prevention and detection of corruption and bribery G1-4: Confirmed incidents of corruption or bribery G1-5: Political influence and lobbying activities Not applicable G1-6: Payment practices Disclosure Requirements Page Consolidated management report - 2024 58']"
